"ROLE_ID","FUNCTION_CODE","PERMISSIONS_SUM","OPTIMISTICLOCKVERSION"
"2","USER_ACCOUNT","1935","0"
"5","USER_ACCOUNT","1935","0"
"6","USER_ACCOUNT","66","0"
"6","USER_ROLE","15","0"
"3","USER_ACCOUNT","66","0"
"3","USER_ROLE","15","0"
"1","SMS_REPORT_SENT","15","0"
"1","SMS_REPORT_SENDER","15","0"
"1","SMS_LANGUAGE","15","0"
"1","SMS_QA","15","0"
"1","SMS_TYPE","15","0"
"1","SMS_TOTAL_DAILY","15","0"
"1","SMS_TOTAL_MONTH","15","0"
"1","SMS_PROVIDER","15","0"
"1","SMS_HISTORY","15","0"
"1","SMS_SEND","15","0"
"1","USER_ACCOUNT","1999","0"
"1","USER_ROLE","15","0"
